Name,Desc,PlantType,BloomsIn,Height,SoilNeeds,SunNeeds,WaterNeeds,Maintenance,Type de Sol
Paeonia (Peony),"Paeonia, la Pivoine, est un genre d’environ 30 espèces de plantes vivaces, d’arbustes ou de sous-arbrisseaux de la famille des Paéoniacées, originaires d’Asie, d’Europe du Sud et d’Amérique du Nord. Les pivoines produisent de grandes fleurs doubles ou semi-doubles, souvent parfumées, dans une palette de couleurs allant du blanc au rouge pourpré. Elles fleurissent au printemps.","Perennials, Shrubs","Spring, Summer","The species range in size from 60 cm to 120 cm (2 to 4 ft) tall. However, Peony trees can grow to 3 metres (10 ft) in height.","The plant likes moist and well drained soil, with a ph level from 6.0 to 7.5.","Full sun, Partial sun",avarage,low,Limon
Papaver (Poppy),"Papaver, ou Pavot, est un genre d’environ 50 espèces de la famille des Papavéracées, originaires d’Eurasie, d’Afrique et d’Amérique du Nord. Les feuilles sont vert grisâtre et les fleurs, simples ou doubles, présentent des pétales soyeux et un large éventail de couleurs (rouge, orange, rose, blanc, mauve). Les pavots sont appréciés pour leur aspect champêtre et leur facilité de culture.","Annuals, Perennials","Spring, Summer",Poppy usually grows between 30 and 90 cm (1-3 ft) tall.,"The plant likes well drained soil that is acidic, neutral or alkaline. It tolerates poor soil and drought.","Full sun, Partial sun",avarage,low,Limon
Passiflora (Passion Flower; Passion Vine),"Passiflora est un grand genre de plus de 500 espèces de vignes, arbustes et arbres de la famille des Passifloracées, principalement originaires d’Amérique centrale et du Sud. Les fleurs, très complexes, comportent une couronne filamenteuse sur un calice et une corolle, leur donnant un aspect unique et exotique. Elles attirent de nombreux pollinisateurs.","Annuals, Climbers, Perennials, Shrubs, Trees","Spring, Autumn, Summer","These plants range in size from 60 cm (2 ft) to 20 metres (65 ft), depending on variety.","Passiflora likes soil that is fertile, moist and well drained. Soil pH can be anywhere between 6.0 to 7.5.","Full sun, Partial sun",avarage,medium,Limon
Pelargonium (Geranium),"Pelargonium, souvent appelé « Géranium » dans le langage courant, est un genre d’environ 250 espèces, ainsi que de nombreux hybrides et cultivars, de la famille des Géraniacées. Principalement originaires d’Afrique australe, ces plantes annuelles ou vivaces, arbustives ou succulentes, offrent une large variété de tailles, formes et couleurs, et sont très prisées pour la décoration en pots ou jardinières.","Annuals, Cactus - Succulents, Perennials, Shrubs","Spring, Autumn, Summer",Pelargoniums grow from 30 to 180 cm (1 to 6 ft) tall.,"Pelargoniums prefer fertile, moist and well-drained soil. They are not particular about soil pH, but will do best in a soil that is neutral to slightly acidic.","Full sun, Partial sun",avarage,low,Limon
Penstemon (Beardtongue),"Penstemon est un genre de plus de 200 espèces de la famille des Plantaginacées, originaire d’Amérique du Nord. Les fleurs tubulaires ou en entonnoir, souvent vives, sont organisées en épis ou panicules. Les penstemons fleurissent longtemps, du printemps à l’automne, et attirent abeilles, papillons, colibris et autres pollinisateurs.",Perennials,"Autumn, Summer","This plant grows between 30 cm (1 ft) and 120 cm (4 ft) high, depending on species.","Most Penstemons require moist and well-drained soil. They usually grow on poor, rocky or sandy soils. This plant does not seem to be fussy about the soil pH, but prefers soil with a pH from 5.5 to 7.0.","Full sun, Partial sun",avarage,low,Limon
Petunia (Petunia),"Petunia est un genre d’une vingtaine d’espèces de la famille des Solanacées, originaire d’Amérique du Sud. Ces plantes annuelles ou vivaces à la floraison généreuse produisent des fleurs en forme d’entonnoir, simples ou doubles, souvent parfumées. Très populaires dans les massifs et jardinières, la plupart des variétés disponibles sont des hybrides.","Annuals, Perennials","Spring, Autumn, Summer",The species range in size from 15 cm to 120 cm (6 inches to 4 ft) in height.,"Petunia prefers fertile, moist, but well drained soil, with a pH between 6.0 and 7.0.","Full sun, Partial sun",avarage,low,Limon
Phacelia (Scorpionweed),"Phacelia est un genre d’environ 60 espèces de la famille des Boraginacées, originaires d’Amérique du Nord et du Sud. Les fleurs, souvent bleues ou violettes, forment de petits bouquets ou grappes spiralées. Faciles à cultiver, les phacélies attirent fortement les abeilles et autres insectes pollinisateurs, et sont parfois utilisées comme engrais vert.","Annuals, Perennials","Spring, Summer",Phacelia can grow up to 120 cm (4 ft) high.,Phacelia prefers well drained soils within a pH range of 6.5 to 8.5.,"Full sun, Partial sun",low,low,Limon
Phlox (Phlox),"Phlox est un genre d’environ 70 espèces annuelles et vivaces de la famille des Polémoniacées, majoritairement originaires d’Amérique du Nord. Elles possèdent des tiges robustes, des feuilles lancéolées et des inflorescences de petites fleurs étoilées à cinq pétales, dans une grande gamme de couleurs. Rustiques et faciles à cultiver, elles égayent massifs et bordures.","Annuals, Perennials","Spring, Autumn, Summer","Phlox can be found in different sizes, from dwarf species only around 10 cm (4 inches) in height to some reaching 120 cm (4 ft) tall.","Phlox prefers moist, but well drained soil, with a pH level between 5.0 and 6.5.","Full sun, Partial sun",avarage,medium,Limon
Platycodon (Balloon Flower; Chinese Bellflower; Japanese Bellflower),"Platycodon grandiflorus est la seule espèce de ce genre de la famille des Campanulacées, originaire d’Asie de l’Est. Surnommée « fleur-ballon » à cause de ses boutons gonflés, elle éclot en de grandes fleurs étoilées bleues, roses ou blanches. Elle fleurit en été et attire les papillons et autres insectes pollinisateurs.",Perennials,"Autumn, Summer",The plant can grow nearly 60 cm (2 feet) tall.,"Platycodon will grow in any good well-drained soil, but prefers sandy soil. It will do best in a slightly acidic soil.","Full sun, Partial sun",avarage,low,Limon
Plumbago (Plumbago),"Plumbago est un genre d’environ 10 espèces annuelles, vivaces, arbustives et grimpantes de la famille des Plombaginacées, réparties en régions chaudes. Elles se distinguent par leurs feuilles vert tendre et leurs fleurs à cinq pétales, généralement bleues ou blanches, en grappes. Leur floraison prolongée et délicate en fait des plantes très appréciées.","Annuals, Climbers, Perennials, Shrubs","Spring, Autumn, Winter, Summer","The plants can reach up to 3 m (10 ft) in height, although they are typically smaller.",These plants prefer fertile and well-drained soils. They are drought tolerant and are not fussy about the soil's pH level.,"Full sun, Partial sun",avarage,low,Limon
Polygonatum (Solomon's Seal),"Polygonatum est un genre d’environ 70 espèces de la famille des Asparagacées, originaires des régions tempérées de l’hémisphère Nord. Aussi appelées Sceaux-de-Salomon, ces plantes d’ombre portent des tiges arquées, des feuilles alternes ou disposées par paires, et des petites fleurs tubulaires pendantes, souvent suivies de baies bleues ou noires.",Perennials,"Spring, Summer","These plants vary in height from 60 to 200 cm (2 to 7 ft), depending on species.","This plant prefers fertile, moist and well-drained soil. It is not fussy about soil pH,","Partial sun, Shade",avarage,low,Limon
Potentilla (Cinquefoil),"Potentilla est un genre d’environ 300 espèces de la famille des Rosacées, répandues dans l’hémisphère Nord. Les feuilles, souvent palmées à cinq lobes, et les fleurs à cinq pétales jaunes, blancs, roses ou rouges en font des plantes très polyvalentes. Elles sont appréciées pour leur floraison prolongée, leur rusticité et leur capacité à attirer les pollinisateurs.","Annuals, Perennials, Shrubs","Spring, Autumn, Summer","Cinquefoil range in height from 30 to 120 cm (1 to 4 ft), depending on the varieties.","It will thrive in almost any soil, though it prefers reasonably well-drained and moderately fertile soil. The soil pH should be between 5.0 and 7.0","Full sun, Partial sun",avarage,low,Limon
Primula (Primrose),"Primula est un genre de plus de 400 espèces de plantes herbacées vivaces de la famille des Primulacées, répandues dans les régions tempérées du monde. Les primevères, primevères des jardins ou auricules offrent une grande diversité de formes et de couleurs, fleurissant dès la fin de l’hiver ou le début du printemps.",Perennials,Spring,The species grows up to 60 cm (2 ft) in height.,"Primulas prefer moist, but well drained soil and grow best in neutral or slightly acidic soil.","Full sun, Partial sun",avarage,low,Limon
Prunus (Prunus),"Prunus est un grand genre de plus de 400 espèces d’arbres et d’arbustes de la famille des Rosacées, présent dans l’hémisphère Nord. Il comprend de nombreuses espèces fruitières d’importance économique : cerisiers, pruniers, pêchers, abricotiers, amandiers, etc. La plupart ont de jolies fleurs à cinq pétales et produisent des drupes (fruits à noyau).","Shrubs, Trees","Spring, Autumn, Winter, Summer","The species range in height from 1,5 metres to 12 metres (5 to 40 ft) tall.","Prunus likes moist and well drained soil that is acidic, neutral or alkaline.",Full sun,avarage,low,Limon
Pulmonaria (Lungwort),"Pulmonaria est un genre d’environ 15 espèces de la famille des Boraginacées, originaires d’Europe et d’Asie. Plantes d’ombre, elles possèdent un feuillage souvent moucheté et des fleurs tubulaires qui changent parfois de couleur au cours de la floraison (rose, bleu, violet). Elles égaient le jardin dès la fin de l’hiver.",Perennials,"Spring, Winter",Pulmonaria can grow up to 30 cm (1 ft) tall.,Pulmonaria likes moist and well drained soil. Most of the species thrive best in soil with a pH in the 7.0 to 7.5 range.,"Partial sun, Shade",avarage,low,Limon
Quesnelia (Quesnelia),"Quesnelia est un genre d’environ 20 espèces de la famille des Broméliacées, endémiques de l’est et du sud-est du Brésil. Ces plantes forment des rosettes rigides de feuilles vertes, parfois épineuses, et produisent des inflorescences coniques de fleurs tubulaires, souvent roses ou bleues, principalement en hiver. Elles sont peu exigeantes et tolérantes à la sécheresse.","Cactus - Succulents, Perennials","Spring, Winter",These plants can grow up to 60 cm (2 ft) in height.,Quesnelia prefers moist and well drained soil. It is not fussy about soil pH.,"Full sun, Partial sun, Shade",avarage,low,Limon
Rafflesia (Rafflesia),"Rafflesia est un genre d’une vingtaine d’espèces de plantes parasites de la famille des Rafflesiacées, originaires des forêts tropicales d’Asie du Sud-Est. Ces plantes dépourvues de feuilles, de tiges et de racines produisent une fleur gigantesque et malodorante (cinq grands lobes charnus autour d’un disque central). La rafflésie est l’une des plus grandes fleurs du monde.",,"Spring, Autumn, Winter, Summer",Rafflesia can reach up to 1 m (more than 3 ft) in diameter.,"Rafflesia is a parasitic plant and depends completely upon its host, so it doesn't need any soil. Anyway, it has no roots, leaves or stem.","Full sun, Partial sun, Shade",avarage,low,Limon
Ranunculus (Buttercup; Crowfoot; Spearwort),"Ranunculus est un vaste genre de plus de 500 espèces de la famille des Renonculacées, réparties dans le monde entier. Ce sont pour la plupart des plantes herbacées vivaces qui produisent des fleurs brillantes et colorées (jaunes, blanches, roses, rouges, etc.) avec de nombreux pétales. Les renoncules sont très appréciées en fleuristerie et en massifs.","Annuals, Bulbs, Perennials","Spring, Summer","Ranunculus can reach a height of between 20 and 60 cm (8 inches to 2 ft), depending on species.",The plant prefers moist and well drained soil. The pH level of the soil should be slightly acidic.,"Full sun, Partial sun",avarage,low,Limon
Rhododendron (Rhododendron),"Rhododendron est un genre d’environ 1000 espèces d’arbustes et de petits arbres de la famille des Éricacées, originaire d’Asie, d’Europe et d’Amérique du Nord. Ils se caractérisent par leurs grandes fleurs en forme de cloche ou d’entonnoir, souvent groupées en bouquets, et leur feuillage persistant ou semi-persistant. Les azalées font partie du même groupe.","Shrubs, Trees","Spring, Autumn, Winter, Summer",The species range in size from low ground covers and medium sized shrubs to trees that can reach 25 metres (82 ft) tall.,"Rhododendrons will perform best in moist and well drained soil, with a pH level between 4.5 and 6.0.",Partial sun,avarage,low,Limon
Rondeletia (Rondeletia),"Rondeletia est un genre d’environ 150 espèces d’arbres et d’arbustes tropicaux de la famille des Rubiacées, originaires d’Amérique centrale. Ils ont un feuillage persistant et des grappes de petites fleurs parfumées, à quatre ou cinq pétales, qui attirent oiseaux et papillons.","Shrubs, Trees","Spring, Autumn, Winter, Summer","The plant can grow up to 4,5 metres (15 ft) tall.","Rondeletia will grow best in rich, moist and well drained soil that is slightly acidic.","Full sun, Partial sun",avarage,low,Limon
Rosa (Rose),"Rosa, le Rosier, est un genre d’environ 150 espèces de la famille des Rosacées, réparties dans l’hémisphère Nord. Les rosiers, connus pour leurs fleurs élégantes et parfumées, sont munis d’épines plus ou moins prononcées. Les fleurs varient en taille, couleur et nombre de pétales, et produisent souvent des fruits appelés cynorrhodons.","Climbers, Roses, Shrubs","Spring, Autumn, Summer",Roses range in size from dwarf species to climbers that can reach 12 metres (40 ft) in height.,"This plant grows best in moist and well drained soil, with a pH level between 5.5 and 7.0.","Full sun, Partial sun",avarage,medium,Limon
Rudbeckia (Coneflower),"Rudbeckia est un genre d’environ 25 espèces de plantes herbacées annuelles, bisannuelles ou vivaces de la famille des Astéracées, originaires d’Amérique du Nord. Leurs fleurs, semblables à des marguerites, arborent un disque central proéminent et des ligules colorées (jaunes, orange, rouges). Elles sont parfaites pour prolonger la floraison en fin d’été et en automne.","Annuals, Perennials","Autumn, Summer",This plant grows between 30 and 120 cm (1 to 4 ft) in height.,"Rudbeckia likes moist and well drained soil that is neutral, alkaline or acidic.","Full sun, Partial sun",avarage,low,Limon
Salvia (Sage),"Salvia est un vaste genre d’environ 1000 espèces de la famille des Lamiacées, présent dans le monde entier, en particulier en Amérique centrale et du Sud, en Asie et en Méditerranée. Les fleurs tubulaires riches en nectar attirent abeilles, papillons et colibris, tandis que le feuillage est souvent aromatique. Les sauges sont idéales en massifs, bordures et pots.","Annuals, Perennials, Shrubs","Spring, Autumn, Winter, Summer","Salvia grows from 30 cm to 180 cm (1 to 6 ft) tall, depending on species.","Salvia grows best in moist, but well-drained soil, with a pH level between 6.0 and 7.0.","Full sun, Partial sun",avarage,low,Limon
Sandersonia (Christmas Bells; Chinese Lantern Lily),"Sandersonia est un genre de la famille des Colchicacées, ne comptant qu’une seule espèce : Sandersonia aurantiaca, originaire d’Afrique australe. Cette plante grimpante possède des feuilles lancéolées et produit des fleurs en forme de petites lanternes orange ou jaunes, très prisées en bouquets car elles durent longtemps en vase.","Climbers, Perennials","Spring, Summer",This plant grows up to 90 cm (3 ft) in height.,"Sandersonia aurantiaca prefers sandy or loamy soil that is moist, well drained and slightly acidic.",Full sun,avarage,low,Limon
Scabiosa (Scabious; Pincushion Flower),"Scabiosa est un genre d’environ 70 espèces de la famille des Caprifoliacées, originaires d’Afrique, d’Europe et d’Asie. Les fleurs sont regroupées en capitules bombés, formés de multiples fleurons donnant un aspect de coussin (pincushion). Elles fleurissent dans divers coloris (bleu, mauve, rose, blanc) et attirent les papillons et les abeilles.","Annuals, Perennials","Autumn, Summer",Scabiosa typically ranges in height from 15 cm (6 inches) to 60 cm (2 ft).,Scabiosa grows best in rich soil with good drainage and with plenty of sunlight. It can be grown in soils with a pH range from 5.0 to 7.5.,Full sun,avarage,low,Limon
Scilla (Squill),"Scilla est un genre d’environ 100 espèces de plantes vivaces bulbeuses de la famille des Asparagacées, originaires d’Europe, d’Asie et d’Afrique du Nord. Leurs fleurs, souvent bleues mais parfois blanches ou roses, sont en forme d’étoile ou de clochette et apparaissent au printemps. Elles sont parfaites en rocailles, sous-bois ou pelouses naturalisées.",Bulbs,"Spring, Winter","Scilla can grow up to 60 cm (2 ft) high However, some species are less than 10 cm (4 inches) tall.","Scilla likes rich and well drained soil, with a pH level between 6.0 and 8.0. It will not grow well in waterlogged soils.","Full sun, Partial sun",avarage,low,Limon
Solidago (Goldenrod),"Solidago, ou Verge d’or, est un genre de plus de 100 espèces de la famille des Astéracées, majoritairement originaires d’Amérique du Nord. Ces plantes vivaces produisent des tiges élancées portant de nombreuses petites fleurs jaunes en grappes ou en panicules. Parfaites pour les massifs de fin d’été et très mellifères.",Perennials,"Autumn, Summer","Goldenrods can grow up to 90 cm (3 ft) in height, while some species are only 10 cm (4 inches) tall.",Solidago grows best in well drained soil that is acidic to neutral.,Full sun,avarage,low,Limon
Spiraea (Spirea),"Spiraea est un genre de plus de 100 espèces d’arbustes à fleurs de la famille des Rosacées, originaires des régions tempérées de l’hémisphère Nord. Les spirées ont un feuillage fin et des inflorescences en corymbes, panicules ou grappes de petites fleurs (blanches, roses, pourpres). Faciles à cultiver, elles attirent les insectes pollinisateurs.",Shrubs,"Spring, Autumn, Summer","These plants can grow up to 3 m (10 ft) in height, depending on species.","The plant grows in almost any type of soil that is well-drained. The ideal soil pH is between 6.0 and 7.0. If soil is too alkaline (above 7.0), it may reduce the plant's ability to take up some nutrients resulting in the yellowing of foliage (chlorosis).","Full sun, Partial sun",avarage,low,Limon
Strelitzia (Bird of Paradise; Crane Flower),"Strelitzia est un genre de cinq espèces de la famille des Strelitziacées, originaires d’Afrique australe. Surnommée « Oiseau de paradis » pour sa floraison spectaculaire, la plante produit de grandes bractées colorées abritant des fleurs orange, bleues ou blanches. Très populaire en fleuristerie, elle apporte une touche exotique aux bouquets.","Perennials, Shrubs","Spring, Autumn, Winter, Summer","Strelitzia can grow as tall as 1 m (3 ft) or taller, while some species (Strelitzia nicolai) can reach 10 metres (33 ft) high.","Strelitzia prefers organically rich, moist and well drained soil. The optimal soil pH is between 6.0 and 6.5. If treated well, this plant can produce up to 36 flower spikes a year.","Full sun, Partial sun",avarage,low,Limon
Syringa (Lilac),"Syringa, ou Lilas, est un genre d’une vingtaine d’espèces d’arbustes ou de petits arbres de la famille des Oléacées, originaires d’Eurasie. Les lilas sont célèbres pour leurs fleurs tubulaires très parfumées, regroupées en panicules, dans des nuances de mauve, rose, blanc ou violet, au printemps.","Shrubs, Trees","Spring, Summer","Lilacs range in size from 2 to 10 metres (7 to 33 ft) high, depending on species.","These plants prefer fertile, moist, but well-drained soil. The ideal soil pH for growing Lilacs is neutral to alkaline.","Full sun, Partial sun",avarage,low,Limon
Tagetes (Marigold),"Tagetes est un genre d’environ 50 espèces annuelles et vivaces de la famille des Astéracées, originaires d’Amérique centrale et du Sud. Communément appelées œillets d’Inde ou tagètes, ces fleurs lumineuses se déclinent en jaune, orange, rouge ou bicolore, et sont appréciées pour leur floraison abondante et prolongée, du printemps à l’automne.","Annuals, Perennials, Shrubs","Spring, Autumn, Summer","These species range in size from 15 to 80 cm (6 inches to 3 ft) tall, rarely until 2 metres (7 ft).","Tagetes grows in almost any soil, but will perform best in moderately fertile, well-drained soil.",Full sun,avarage,low,Limon
Tanacetum (Tanacetum),"Tanacetum est un genre d’environ 150 espèces de la famille des Astéracées, présent dans l’hémisphère Nord. Il inclut des plantes annuelles, vivaces ou sous-arbrisseaux, aux feuilles souvent aromatiques et aux capitules jaunes ou blancs (fleurons tubulés et parfois ligulés). Le plus connu est Tanacetum vulgare, la Tanaisie commune.","Annuals, Perennials, Shrubs",Summer,These plants can grow from a few inches to 150 cm (5 ft) tall.,"Tanacetum prefers moist and well-drained soil, but tolerates a wide variety of soils and pH conditions.","Full sun, Partial sun",avarage,medium,Limon
Taraxacum (Dandelion),"Taraxacum, le Pissenlit, est un grand genre de plus de 500 espèces de la famille des Astéracées, originaire d’Eurasie. Il s’est naturalisé sur tous les continents. Les fleurs jaunes, réunies en capitules, laissent place à des aigrettes duveteuses disséminées par le vent. Malgré son statut de « mauvaise herbe », il a un charme et un intérêt écologique importants.",Perennials,"Spring, Autumn, Winter, Summer",Dandelions range in height from 5 to 50 cm (2-20 inches) in height.,"Although Dandelions adopt most conditions and grow everywhere, they will grow best in moist areas with fertile and well-drained soil.","Full sun, Partial sun",avarage,low,Limon
Tigridia (Tiger Flower; Mexican Shellflower),"Tigridia est un genre d’environ 35 espèces de plantes bulbeuses de la famille des Iridacées, originaires d’Amérique subtropicale et tropicale. Les fleurs, grandes et éphémères, ont trois pétales voyants et trois sépales plus petits, souvent tachetés, dans des teintes vives (rouge, rose, jaune, orange). Elles apportent une note exotique aux massifs.",Bulbs,Summer,These plants usually grow between 30 and 60 cm (1-2 ft) tall.,Tigridia performs best in rich and well-drained soil. It is not too fussy when it comes to soil pH.,"Full sun, Partial sun",avarage,low,Limon
Torenia (Wishbone Flower; Bluewings; Clown Flower),"Torenia est un genre d’une quinzaine d’espèces de la famille des Linderniacées, originaire d’Afrique et d’Asie du Sud-Est. Les fleurs tubulaires, souvent bicolores (violet, bleu, rose, blanc, jaune), présentent deux lèvres bien distinctes et un dessin en forme de « wishbone » (os à vœu) au centre. Parfaites en suspensions, bordures et massifs.",Annuals,"Spring, Autumn, Summer",Torenia grows up to 30 cm (1 ft) in height.,"Torenia prefers rich, loamy, moist and well drained soil. The plant is not particular about soil pH, but it does best in a soil that is slightly acidic.","Partial sun, Shade",avarage,medium,Limon
Tradescantia (Spiderwort),"Tradescantia est un genre d’environ 70 espèces de la famille des Commélinacées, originaire du continent américain. Les feuilles, linéaires ou lancéolées, entourent des tiges charnues. Les fleurs ont trois pétales colorés (bleu, rose, violet, blanc) et des étamines jaunes contrastées. Faciles à cultiver, certaines espèces sont aussi appréciées en plantes d’intérieur.",Perennials,"Spring, Autumn, Summer",This plant can reach up to 90 cm in height.,"Spiderwort prefers fertile, moist and well-drained soil. The soil should be acidic, with a pH range between 5.0 and 6.5.","Full sun, Partial sun, Shade",avarage,low,Limon
Tricyrtis (Toad Lily),"Tricyrtis est un genre d’une vingtaine d’espèces de la famille des Liliacées, originaires des sous-bois humides d’Asie orientale. Les fleurs, parfois comparées à des orchidées, sont étoilées ou campanulées, avec des pétales couverts de points pourpres. Elles fleurissent en fin d’été ou à l’automne et aiment l’ombre ou la mi-ombre.",Perennials,"Autumn, Summer",Tricyrtis reaches up to 90 cm (3 ft) in height.,"Tricyrtis prefers rich, moist and well-drained soil, with a pH from acid to neutral. The plant is adaptable and can tolerate heat, cold and humidity.","Partial sun, Shade",avarage,low,Limon
Trillium (Wake Robins; Birthroot),"Trillium est un genre d’environ 50 espèces de vivaces de la famille des Melanthiacées, originaire d’Asie et d’Amérique du Nord. Chaque plante possède trois feuilles, trois sépales et trois pétales, généralement en forme de spirale au sommet d’une tige courte. Les fleurs apparaissent au printemps, souvent blanches, roses, rouges ou jaunes.",Perennials,"Spring, Summer",Trillium usually grows between 30 and 60 cm (1-2 ft) in height.,"Trillium performs best in rich, moist and well-drained soil that is neutral to slightly acidic.","Partial sun, Shade",avarage,low,Limon
Trollius (Globe Flower),"Trollius est un genre d’une trentaine d’espèces de vivaces de la famille des Renonculacées, originaires d’Europe, d’Asie et d’Amérique. Le feuillage est découpé, et les fleurs sphériques ou en forme de coupe sont jaunes ou orange, s’épanouissant au printemps et au début de l’été. Elles aiment les sols frais et humides.",Perennials,"Spring, Summer",Trollius can grow up to 90 cm (3 ft) in height.,"Trollius prefers rich, poorly-drained soil and regular moisture. The ideal soil pH is between 5.0. and 7.0.","Full sun, Partial sun",avarage,low,Limon
Tropaeolum (Nasturtium),"Tropaeolum, ou Capucine, est un genre d’environ 70 espèces de la famille des Tropaeolacées, originaire d’Amérique centrale et du Sud. Les fleurs, souvent en forme d’entonnoir, présentent cinq pétales colorés et un éperon nectarifère. Peu exigeantes, les capucines s’étalent facilement et offrent une floraison généreuse, appréciée en cuisine pour leurs fleurs comestibles.","Annuals, Perennials","Spring, Autumn, Summer","Nasturtium vary in height from 20 cm (8 inches) to 3 metres (10 ft), depending on species.",The plant is suitable for sandy and loamy soils with a pH between 5.5 and 7.5. It also grows in nutritionally poor soil.,Full sun,avarage,low,Limon
Tulipa (Tulip),"Le genre Tulipa comprend environ 100 espèces de la famille des Liliacées et plus de 3000 variétés cultivées. Principalement originaires d’Asie centrale, les tulipes se déclinent en une multitude de formes et de couleurs. Fleurs emblématiques du printemps, elles sont très appréciées en massifs, bordures et en fleurs coupées.","Annuals, Bulbs, Perennials",Spring,"Tulips can be short (less than 20 cm or 8 inches), medium (20-45 cm or 8-18 inches) and tall (greater than 45 cm or 18 inches).","These plants prefer fertile, moist, soft and well-drained soil.","Full sun, Partial sun",low,low,Limon
Valeriana (Valerian),"Valeriana est un genre de plus de 250 espèces de la famille des Caprifoliacées, originaire d’Europe, d’Asie et des Amériques. Les plantes produisent de hautes tiges surmontées d’ombelles de petites fleurs parfumées, blanches, roses ou mauves, attirant papillons et abeilles. Certaines espèces, comme la Valériane officinale, sont connues pour leurs propriétés médicinales.",Perennials,"Autumn, Summer","The plant can reach 1,5 meters (5 ft) in height.","The plant performs best in fertile, moist and well drained soil, with slightly acidic to neutral pH.","Full sun, Partial sun",avarage,low,Limon
Verbascum (Mullein),"Verbascum est un genre de plus de 100 espèces de la famille des Scrophulariacées, originaire d’Europe et d’Asie. La plupart sont des vivaces robustes, avec de grandes rosettes de feuilles duveteuses et une hampe florale portant des fleurs jaunes, blanches ou roses. Idéales dans les sols secs et ensoleillés, elles apportent de la verticalité au jardin.","Annuals, Perennials","Spring, Summer",Mullein has a flower spike that reaches 3 metres (10 ft) high.,Mullein thrives in well-drained soil that is slightly alkaline.,Full sun,low,low,Limon
Verbena (Vervain),"Verbena, ou Verveine, est un genre de plus de 100 espèces de la famille des Verbénacées, originaire d’Asie et d’Amérique. Les fleurs, petites et regroupées en têtes ou en épis, sont souvent roses, violettes, blanches ou rouges. Tolérantes à la sécheresse, les verveines sont parfaites en bordures, suspensions et rocailles.","Annuals, Perennials","Autumn, Summer","Verbena grows from 7 cm to 180 cm (3 inches to 6 ft) tall, depending on species.","This plant prefers moist, but well drained soil. It is not particular about soil pH, but it grows best in soil with a pH between 6.0 and 8.0.","Full sun, Partial sun",avarage,low,Limon
Veronica (Speedwell),"Veronica est un genre d’environ 200 espèces de la famille des Plantaginacées, principalement originaires de l’hémisphère Nord. Les fleurs, tubulaires ou en forme de soucoupe, sont groupées en épis dressés ou en grappes. Elles fleurissent du printemps à l’automne et attirent de nombreux pollinisateurs. Faciles à cultiver, elles s’intègrent bien en massifs et bordures.",Perennials,"Spring, Autumn, Summer","Veronica comes in a wide range of sizes, from dwarfs that rarely exceed 10 cm (4 inches) to large specimens that can grow more than 1,5 metres (5 ft) in height.","This plant prefers moist, but well-drained soil that is neutral, alkaline or acidic.","Full sun, Partial sun",avarage,low,Limon
Veronicastrum (Veronicastrum),"Veronicastrum est un genre d’une dizaine d’espèces de vivaces de la famille des Plantaginacées, surtout originaire d’Amérique du Nord. Elles produisent de grandes tiges dressées portant des verticilles de feuilles et des épis de petites fleurs tubulaires en été et en automne. Idéales pour donner de la hauteur dans les massifs et attirer abeilles et papillons.",Perennials,"Autumn, Summer",Veronicastrum reaches nearly 2 m (6 ft) in height.,"Veronicastrum prefers fertile, moist and well-drained soil. It tolerates a wide range of soil pH levels.","Full sun, Partial sun",avarage,low,Limon
Vinca (Periwinkle),"Vinca, ou Pervenche, est un genre de six espèces de la famille des Apocynacées, originaires d’Europe, d’Afrique du Nord-Ouest et du Moyen-Orient. Ces plantes à feuillage persistant ou semi-persistant possèdent des fleurs en forme de moulin à vent, souvent bleues, blanches ou roses, très appréciées en couvre-sol ou en pots.","Perennials, Shrubs","Autumn, Summer",Vinca range in size from dwarf species that grow only about 10 cm (4 inches) tall to the larger types which can grow up to 60 cm (2 ft) in height.,"Vinca prefers moist, but well drained soil and is adaptable to soils of various pHs.","Full sun, Partial sun, Shade",avarage,low,Limon
Viola (Violet),"Viola est un genre de plus de 500 espèces de la famille des Violacées, largement réparties dans l’hémisphère Nord tempéré. Les violettes et pensées se caractérisent par des fleurs délicates à cinq pétales, souvent bicolores ou tricolores, et un feuillage cordiforme. Elles fleurissent en général au printemps et en automne, et sont populaires en plates-bandes et jardinières.","Annuals, Perennials, Shrubs","Spring, Autumn, Winter, Summer",Violas are small plants up to 20 cm (8 inches) tall.,"Violas prefer rich, moist and well drained soil.","Full sun, Partial sun",avarage,low,Limon
Watsonia (Bugle Lily),"Watsonia est un genre d’environ 50 espèces de vivaces à bulbe de la famille des Iridacées, originaires d’Afrique du Sud. Elles produisent un feuillage en forme d’épée et de grands épis de fleurs tubulaires dans des tons vifs (orange, rouge, rose, blanc). Parfaites pour ajouter de la verticalité et de la couleur aux massifs.","Bulbs, Perennials","Spring, Autumn, Winter, Summer",This plant grows from 30 cm to 2 metres (1 ft to 7 ft) in height.,Soil should be acidic or neutral and should be moist and well-drained.,Full sun,avarage,low,Limon
