Name,Desc,SunNeeds,WaterNeeds,Maintenance,Type de Sol,SunNeeds_Score,WaterNeeds_Score,Maintenance_score,saison,plant_categories,min_height_cm,max_height_cm,min_ph,max_ph
Helianthus (Sunflower),"Helianthus, le « Tournesol », est un genre d’environ 70 espèces annuelles et vivaces de la famille des Astéracées, majoritairement originaires d’Amérique du Nord et quelques-unes d’Amérique du Sud. Les tournesols sont reconnus pour leurs grandes fleurs en forme de marguerite, jaunes ou bicolores, avec un centre souvent plus sombre et un feuillage vert rugueux. Au-delà de leur beauté, ils sont aussi importants pour l’agriculture.",Plein soleil,Moyenne,Faible,Limon,1.0,1.0,0.0,"Automne, Été","Annuelles, Vivaces",60.0,304.8,,
Heliconia (Lobster Claw; False Bird of Paradise),"Heliconia est un genre d’environ 200 espèces de la famille des Heliconiacées, originaire des régions tropicales des Amériques, avec quelques espèces dans le Pacifique. Elles se distinguent par leurs bractées colorées, souvent rouges, roses, jaunes ou orange, qui protègent de petites fleurs. Ces plantes exotiques sont spectaculaires en massif et très appréciées en fleuristerie.","Plein soleil, Mi-ombre",Moyenne,Faible,Limon,1.5,1.0,0.0,"Printemps, Automne, Été",Vivaces,60.0,609.6,,
Helleborus (Hellebore; Christmas Rose),"Helleborus, ou Hellébore, est un genre d’une vingtaine d’espèces vivaces de la famille des Renonculacées, originaires d’Europe et d’Asie. Chaque fleur se compose de cinq sépales colorés entourant un cœur de petites pétales réduites, de nombreuses étamines et quelques pistils. Les sépales persistent longtemps et offrent une palette de couleurs variée (rose, vert, jaune, blanc, violet, noir).","Mi-ombre, Ombre",Moyenne,Faible,Limon,0.5,1.0,0.0,"Printemps, Hiver",Vivaces,30.0,121.92,,
Hibiscus (Rose mallow),"Hibiscus est un genre d’environ 400 espèces de la famille des Malvacées, originaires des régions tropicales et subtropicales. Il inclut des arbustes, des petits arbres et des plantes annuelles ou vivaces. Les fleurs, grandes et en forme de trompette, se déclinent en de multiples coloris et attirent souvent les colibris et les papillons.","Plein soleil, Mi-ombre",Moyenne,Faible,Limon,1.5,1.0,0.0,"Automne, Été","Annuelles, Vivaces, Arbustes, Arbres",396.24,400.0,,
Hippeastrum (Amaryllis),"Hippeastrum est un genre de la famille des Amaryllidacées comprenant environ 90 espèces et plus de 600 hybrides, originaires des régions tropicales du Mexique, des Caraïbes et d’Amérique du Sud. Ces plantes à bulbe vivaces produisent de grandes fleurs en forme de trompette, aux coloris variés. Souvent confondu avec l’Amaryllis, l’Hippeastrum est très apprécié pour ses floraisons spectaculaires.","Plein soleil, Mi-ombre",Moyenne,Faible,Limon,1.5,1.0,0.0,"Printemps, Été, Hiver",Bulbes,30.0,91.44,,
Hosta (Plantain Lily),"Hosta est un genre d’environ 30 espèces de vivaces de la famille des Asparagacées, originaires de l’Asie de l’Est. Ces plantes d’ombre sont connues pour leur superbe feuillage décoratif, décliné en différentes formes, tailles et coloris. Bien qu’on les cultive surtout pour leurs feuilles, elles produisent également de jolies fleurs tubulaires ou en cloche, appréciées des abeilles et parfois des colibris.","Mi-ombre, Ombre",Moyenne,Faible,Limon,0.5,1.0,0.0,"Printemps, Automne, Été",Vivaces,180.0,182.88,,
Hoya (Wax Plant),"Hoya est un genre d’environ 200 espèces de la famille des Apocynacées, originaire d’Asie, d’Inde, de Chine, de Thaïlande, de Malaisie, des Philippines, d’Indonésie et d’Australie. Ces plantes grimpantes à croissance lente ont des tiges ligneuses et des feuilles épaisses et charnues. Leurs fleurs, parfumées et en forme d’étoile, sont parfaites pour les suspensions ou les jardins verticaux.","Plein soleil, Mi-ombre",Moyenne,Faible,Limon,1.5,1.0,0.0,"Printemps, Automne, Été, Hiver","Vivaces, Arbustes, Grimpantes",10.0,304.8,5.0,5.0
Hyacinthus (Hyacinth),"Hyacinthus est un petit genre de trois espèces de plantes bulbeuses de la famille des Asparagacées, originaires du bassin méditerranéen et du Moyen-Orient. Les feuilles sont étroites et les fleurs très parfumées, groupées en grappes denses au sommet d’une tige nue. Les jacinthes, grâce à leur parfum intense, sont très populaires au jardin et en bouquets.","Plein soleil, Mi-ombre",Moyenne,Faible,Limon,1.5,1.0,0.0,Printemps,Bulbes,30.0,30.48,,
Hydrangea (Hortensia),"Hydrangea est un genre d’environ 70 espèces d’arbustes, d’arbres et de plantes grimpantes de la famille des Hydrangéacées, originaire d’Asie orientale. Les hortensias se déclinent en de nombreux cultivars et variétés, avec de grosses inflorescences sphériques ou plates, dans des teintes allant du blanc au rose, rouge, bleu ou violet. Ils sont très appréciés pour leurs fleurs en bouquets et leur aspect ornemental.",Mi-ombre,Moyenne,Faible,Limon,0.5,1.0,0.0,"Printemps, Automne, Été","Arbustes, Arbres, Grimpantes",60.0,1219.2,,
Hypericum (St. John’s Wort),"Hypericum est un genre de plus de 200 espèces de plantes à fleurs de la famille des Hypéricacées, originaires des régions tempérées d’Europe, d’Afrique du Nord et du Moyen-Orient. Leurs fleurs jaunes à cinq pétales possèdent des étamines proéminentes souvent groupées en faisceaux. Plusieurs espèces sont cultivées comme plantes ornementales ou utilisées en phytothérapie.","Plein soleil, Mi-ombre",Moyenne,Faible,Limon,1.5,1.0,0.0,"Printemps, Automne, Été","Annuelles, Vivaces, Arbustes, Arbres",30.0,213.36,5.5,5.5
Hypoxis (Star Grass),"Hypoxis est un genre d’environ 90 espèces de vivaces de la famille des Hypoxidacées, répandues en Afrique, en Asie, en Australie et en Amérique. Ces plantes se reconnaissent à leurs feuilles linéaires et à leurs fleurs étoilées jaune vif qui apparaissent au printemps ou au début de l’été. Les fleurs sont habituellement composées de six tépales et sont pollinisées par les abeilles.","Plein soleil, Mi-ombre",Faible,Faible,Limon,1.5,0.0,0.0,"Printemps, Été",Vivaces,20.0,20.32,,
Hyssopus (Hyssop),"Hyssopus est un genre d’une dizaine d’espèces de vivaces herbacées et d’arbustes persistants de la famille des Lamiacées, originaires du sud et de l’est de l’Europe ainsi que des zones tempérées d’Asie. Les tiges sont dressées et ramifiées, les feuilles étroites, et les fleurs bilabiées très attractives pour les abeilles, colibris et autres pollinisateurs.","Plein soleil, Mi-ombre",Moyenne,Faible,Limon,1.5,1.0,0.0,"Printemps, Automne, Été","Vivaces, Arbustes",60.0,60.96,,
Iberis (Candytuft),"Iberis, appelé aussi Corbeille d’argent, est un genre d’environ 50 espèces de la famille des Brassicacées, originaires d’Europe et d’Asie, notamment du bassin méditerranéen. Ces plantes ont un feuillage vert foncé et des inflorescences en grappes de petites fleurs blanches, roses ou pourpres. Elles sont souvent utilisées en couvre-sol, en bordures ou en rocailles.",Plein soleil,Moyenne,Moyen,Limon,1.0,1.0,0.5,"Printemps, Été","Annuelles, Vivaces, Arbustes",15.0,30.48,,
Impatiens (Jewelweed; Touch-me-not; Busy Lizzy),"Impatiens est un genre très vaste d’environ 1000 espèces de la famille des Balsaminacées, présentes dans l’hémisphère Nord et en zones tropicales. Ces plantes, annuelles ou vivaces, apprécient l’ombre et fleurissent abondamment durant toute la belle saison. Leurs fleurs vivement colorées attirent les colibris et sont parfaites en pots, suspensions, jardinières, massifs ou couvre-sol.","Mi-ombre, Ombre",Moyenne,Faible,Limon,0.5,1.0,0.0,"Printemps, Automne, Été","Annuelles, Vivaces",30.0,30.48,6.0,6.0
Ipomoea (Morning Glory; Kangkung),"Ipomoea est un grand genre de la famille des Convolvulacées, comptant plus de 500 espèces d’herbacées, de lianes, d’arbustes et d’arbres, originaires d’Amérique tropicale et subtropicale. Les fleurs, souvent en forme d’entonnoir, se déclinent en de nombreuses couleurs. Cette plante se distingue par sa croissance rapide et sa floraison généreuse, qui attire colibris et insectes pollinisateurs.",Plein soleil,Moyenne,Faible,Limon,1.0,1.0,0.0,"Printemps, Automne, Été","Annuelles, Vivaces, Arbustes, Arbres, Grimpantes",20.0,457.2,,
Iris (Iris),"Iris est un genre d’environ 300 espèces de la famille des Iridacées, principalement originaires de l’hémisphère Nord. Recherchés pour leurs fleurs magnifiques et colorées, les iris sont faciles à cultiver et se déclinent dans une large palette de nuances. Ils égaient les jardins et fleurissent souvent du printemps jusqu’au début de l’été, parfois plus longtemps selon les variétés.","Plein soleil, Mi-ombre",Moyenne,Faible,Limon,1.5,1.0,0.0,"Printemps, Automne, Été, Hiver",Vivaces,5.0,130.0,,
Ixora (Jungle Flame; Flame of the Woods),"Ixora est un genre de la famille des Rubiacées comprenant environ 550 espèces d’arbustes et de petits arbres, originaires des régions tropicales et subtropicales. Il est apprécié pour sa forme arrondie, son feuillage brillant et ses inflorescences composées de nombreuses petites fleurs tubulaires colorées (rouge, rose, jaune, blanc).","Plein soleil, Mi-ombre",Moyenne,Faible,Limon,1.5,1.0,0.0,"Printemps, Été","Arbustes, Arbres",200.0,213.36,,
Jasminum (Jasmine),"Jasminum, ou Jasmin, est un genre d’environ 200 espèces de la famille des Oléacées, originaire des régions tropicales et subtropicales d’Eurasie, d’Australasie et d’Océanie. Ces plantes grimpantes ou arbustives sont cultivées pour leurs fleurs étoilées, blanches ou jaunes, au parfum doux et intense. Elles sont très populaires en jardin et en potée.","Plein soleil, Mi-ombre",Faible,Faible,Limon,1.5,0.0,0.0,"Printemps, Été","Arbustes, Grimpantes",60.0,1005.84,,
Justicia (Jacobinia),"Justicia est un grand genre d’environ 600 espèces de vivaces et d’arbustes persistants de la famille des Acanthacées, originaire des Amériques, d’Afrique et d’Inde. Leurs fleurs tubulaires sont souvent disposées en épis ou en épis feuillés, et leur feuillage peut être fortement nervuré. Faciles à cultiver, elles préfèrent l’ombre ou la mi-ombre.","Mi-ombre, Ombre",Moyenne,Faible,Limon,0.5,1.0,0.0,Été,"Vivaces, Arbustes",50.0,250.0,,
Kalmia (Spoonwood),"Kalmia est un genre d’une dizaine d’espèces d’arbustes persistants de la famille des Éricacées, présents en Amérique du Nord. Ils se distinguent par leurs feuilles coriaces et leurs grappes de fleurs en forme de coupe, souvent roses ou blanches, délicatement décorées de motifs contrastés. Les kalmias sont des plantes ornementales appréciées dans les jardins.","Plein soleil, Mi-ombre",Moyenne,Faible,Limon,1.5,1.0,0.0,"Printemps, Été",Arbustes,25.0,500.0,,
Kerria (Japanese kerria; Japanese rose),"Kerria est un genre qui ne compte qu’une seule espèce : Kerria japonica, de la famille des Rosacées, originaire d’Asie de l’Est. Cet arbuste caduc produit des fleurs jaunes à cinq pétales rappelant de petites roses, et un feuillage vert vif dentelé. Il fleurit principalement au printemps, avec quelques remontées florales en été.",Mi-ombre,Moyenne,Faible,Limon,0.5,1.0,0.0,"Printemps, Été",Arbustes,300.0,304.8,,
Kniphofia (Red Hot Pokers; Torch Lily; Tritoma),"Kniphofia est un genre d’environ 70 espèces de la famille des Asphodélacées, originaires d’Afrique et du Moyen-Orient. Ces plantes ont un feuillage linéaire et des inflorescences en épis denses de fleurs tubulaires qui fleurissent successivement, du bas vers le haut, et offrent une abondance de nectar attirant abeilles et papillons.",Plein soleil,Moyenne,Faible,Limon,1.0,1.0,0.0,"Printemps, Automne, Été",Vivaces,200.0,213.36,,
Kolkwitzia (Beauty Bush),"Kolkwitzia est un genre qui comprend une seule espèce : Kolkwitzia amabilis, un arbuste à feuilles caduques de la famille des Caprifoliacées, originaire de Chine. Il produit de jolies fleurs en clochette, blanches ou roses avec un cœur jaune, regroupées en panicules, et un feuillage opposé vert foncé. Très décoratif et adaptable dans de nombreux jardins.","Plein soleil, Mi-ombre",Moyenne,Faible,Limon,1.5,1.0,0.0,"Printemps, Été",Arbustes,300.0,304.8,5.0,5.0
Lantana (Shrub Verbena),"Lantana est un genre de plus de 150 espèces de la famille des Verbénacées, originaires des régions tropicales d’Amérique et d’Afrique du Sud. Cet arbuste à feuillage persistant ou semi-persistant produit des inflorescences de petites fleurs tubulaires colorées, dont la teinte évolue en vieillissant. Il fleurit tout au long de la saison chaude, attirant papillons et colibris.",Plein soleil,Moyenne,Faible,Limon,1.0,1.0,0.0,"Printemps, Automne, Été","Annuelles, Vivaces, Arbustes",25.0,121.92,6.5,6.5
Lathyrus (Sweet Pea ),"Lathyrus, connu sous le nom de Pois de senteur, est un genre d’environ 150 espèces de la famille des Fabacées, principalement originaires du bassin méditerranéen. Les fleurs papilionacées comportent cinq pétales : un grand pétale supérieur, deux pétales latéraux et deux pétales inférieurs soudés. Souvent parfumées, elles offrent une large palette de couleurs.",Plein soleil,Moyenne,Faible,Limon,1.0,1.0,0.0,"Printemps, Automne, Été","Annuelles, Vivaces, Grimpantes",30.0,280.0,,
Leucojum (Snowflake),"Leucojum est un genre qui ne compte que deux espèces de la famille des Amaryllidacées : Leucojum vernum et Leucojum aestivum, originaires d’Eurasie. Ces plantes bulbeuses possèdent un feuillage linéaire et des fleurs blanches pendantes en forme de cloche, ornées de marques vertes ou jaunâtres au bout de chaque pétale. Elles sont parfumées et délicates.","Plein soleil, Mi-ombre",Moyenne,Faible,Limon,1.5,1.0,0.0,"Printemps, Été","Vivaces, Bulbes",60.0,60.96,,
Liatris (Blazing Star; Gayfeather),"Liatris est un genre d’environ 50 espèces de plantes vivaces de la famille des Astéracées, originaires d’Amérique du Nord, du Mexique et des Bahamas. Ces fleurs de prairie produisent des épis floraux plumeux ou en épis serrés, et un feuillage linéaire le long de la tige. Leur floraison intervient en fin d’été ou début d’automne, et elles sont très appréciées dans les massifs.",Plein soleil,Moyenne,Faible,Limon,1.0,1.0,0.0,"Automne, Été",Vivaces,150.0,152.4,5.5,5.5
Lilium (Lily),"Lilium est un genre d’environ 100 espèces de plantes à bulbe de la famille des Liliacées, réparties dans l’hémisphère Nord. Les lis ont des feuilles souvent étroites et des fleurs spectaculaires composées de six tépales (trois pétales et trois sépales identiques), souvent en forme de trompette ou de turban, dans une vaste gamme de couleurs. Certains sont également très parfumés.","Plein soleil, Mi-ombre",Moyenne,Faible,Limon,1.5,1.0,0.0,"Printemps, Automne, Été","Vivaces, Bulbes",30.0,274.32,,
Lobelia (Lobelia),"Lobelia est un genre regroupant plus de 400 espèces de la famille des Campanulacées, présentes sur tous les continents. Les fleurs sont tubulaires à cinq pétales, deux supérieurs fins et trois inférieurs plus larges. Les coloris (bleu, rouge, violet, rose, blanc) et la longue floraison font de la lobélie une plante très appréciée en massifs, suspensions et potées.","Plein soleil, Mi-ombre",Moyenne,Faible,Limon,1.5,1.0,0.0,"Printemps, Automne, Été","Annuelles, Vivaces, Arbustes",15.0,152.4,,
Lonicera (Honeysuckle),"Lonicera, le Chèvrefeuille, est un genre d’environ 100 espèces d’arbustes et de plantes grimpantes de la famille des Caprifoliacées, originaire de l’hémisphère Nord. Les fleurs, souvent tubulaires et très parfumées, poussent en grappes terminales et peuvent être blanches, jaunes, roses ou rouges. Elles attirent particulièrement les papillons et les abeilles.","Plein soleil, Mi-ombre",Moyenne,Faible,Limon,1.5,1.0,0.0,"Printemps, Automne, Été, Hiver","Arbustes, Grimpantes",60.0,914.4,,
Lupinus (Lupine; Lupin),"Lupinus est un genre d’environ 500 espèces de la famille des Fabacées, originaires principalement des régions méditerranéennes, d’Afrique du Nord, d’Australasie et des Amériques. Ces plantes annuelles ou vivaces ont des feuilles palmées et des épis floraux dressés, composés de fleurs papilionacées. Elles sont appréciées pour leurs couleurs vives et leur capacité à fixer l’azote.","Plein soleil, Mi-ombre",Moyenne,Faible,Limon,1.5,1.0,0.0,"Printemps, Été","Annuelles, Vivaces",30.0,152.4,,
Lycoris (Spider Lily),"Lycoris est un genre d’une vingtaine d’espèces de la famille des Amaryllidacées, originaire d’Asie de l’Est (Chine, Japon). La plupart présentent des fleurs aux pétales fins et ondulés, avec de longues étamines proéminentes leur donnant un aspect d’araignée. Les coloris sont variés et très décoratifs en fin d’été ou en automne.","Plein soleil, Mi-ombre",Moyenne,Faible,Limon,1.5,1.0,0.0,"Printemps, Automne, Été","Vivaces, Bulbes",60.0,60.96,,
Magnolia (Magnolia),"Magnolia est un genre de plus de 200 espèces de la famille des Magnoliacées, originaires d’Asie, d’Amérique centrale et des régions tropicales et subtropicales. Ces arbres ou arbustes sont reconnus pour leurs grandes fleurs parfumées, souvent blanches ou roses, et leurs feuilles persistantes ou caduques, épaisses et brillantes.","Plein soleil, Mi-ombre",Moyenne,Faible,Limon,1.5,1.0,0.0,"Printemps, Été","Arbustes, Arbres",600.0,2000.0,,
Malva (Mallow),"Malva, la Mauve, est un genre d’environ 30 espèces de la famille des Malvacées, originaire d’Europe, d’Afrique du Nord et d’Asie tempérée. Les fleurs, en forme de coupe, comportent cinq pétales souvent roses, pourpres ou blancs, parfois veinés. Les mauves sont des plantes ornementales appréciées en bordures, massifs et prairies fleuries.","Plein soleil, Mi-ombre",Moyenne,Faible,Limon,1.5,1.0,0.0,"Printemps, Automne, Été","Annuelles, Vivaces",150.0,152.4,,
Mandevilla (Dipladenia; Rocktrumpet),"Mandevilla est un genre d’environ 200 espèces de lianes vivaces de la famille des Apocynacées, principalement originaires d’Amérique du Sud. Ces plantes tropicales grimpantes produisent des fleurs grandes, colorées et en forme de trompette, qui contrastent joliment avec leur feuillage vert brillant. Idéales pour donner une touche exotique au jardin.",Mi-ombre,Moyenne,Moyen,Limon,0.5,1.0,0.5,"Printemps, Automne, Été","Annuelles, Vivaces, Grimpantes",600.0,609.6,,
Monarda (Bee Balm; Bergamot),"Monarda est un genre d’une vingtaine d’espèces de la famille des Lamiacées, originaire d’Amérique du Nord. Les fleurs tubulaires et nectarifères, souvent roses, rouges, violettes ou blanches, sont regroupées en têtes denses entourées de bractées colorées. Appréciée des pollinisateurs, la monarde est idéale dans les massifs et jardins de papillons.","Plein soleil, Mi-ombre",Moyenne,Faible,Limon,1.5,1.0,0.0,"Automne, Été",Vivaces,25.0,152.4,6.0,7.0
Muscari (Grape Hyacinth),"Muscari est un genre d’environ 40 espèces de plantes à bulbe de la famille des Asparagacées, originaires d’Eurasie. Elles produisent des grappes de petites fleurs en forme d’urne, souvent bleues, parfois blanches ou roses, rappelant de petits raisins. Faciles à cultiver, elles sont parfaites en massifs, bordures, rocailles ou sous des arbres.","Plein soleil, Mi-ombre",Moyenne,Faible,Limon,1.5,1.0,0.0,Printemps,Bulbes,10.0,25.4,6.0,6.0
Myosotis (Forget Me Not; Scorpion Grass),"Myosotis, ou « Forget-me-not » (Ne m’oubliez pas), est un genre d’environ 50 espèces de la famille des Boraginacées, originaires d’Europe et d’Asie. Ces plantes vivaces à petites fleurs bleues, blanches ou roses, s’épanouissent du printemps à l’automne. Leurs fleurs comportent cinq pétales et un cœur souvent jaune. Elles sont idéales en bordures, rocailles ou potées.","Plein soleil, Mi-ombre",Moyenne,Faible,Limon,1.5,1.0,0.0,"Printemps, Été",Vivaces,30.0,30.48,5.5,5.5
Myrtus (Myrtle),"Myrtus est un genre de trois espèces de la famille des Myrtacées : Myrtus communis, Myrtus nivellei et Myrtus phillyreifolia, originaires du bassin méditerranéen, d’Afrique du Nord et d’Asie occidentale. Ces arbustes ou petits arbres à feuilles persistantes et aromatiques produisent de petites fleurs blanches à cinq pétales, souvent parfumées, suivies de baies foncées.","Plein soleil, Mi-ombre",Moyenne,Faible,Limon,1.5,1.0,0.0,"Printemps, Été","Arbustes, Arbres",600.0,609.6,,
Narcissus (Daffodil),"Narcissus est un genre de plantes bulbeuses de la famille des Amaryllidacées. On y compte plus de 100 espèces, originaires d’Europe, d’Asie et d’Afrique du Nord. Les narcisses (jonquilles et daffodils) ont généralement six tépales blancs ou jaunes et une couronne centrale en forme de trompette. Ils fleurissent au début du printemps et sont associés à la fin de l’hiver.","Plein soleil, Mi-ombre",Faible,Faible,Limon,1.5,0.0,0.0,Printemps,"Vivaces, Bulbes",10.0,91.44,6.0,7.0
Nemesia (Nemesia),"Nemesia est un genre d’environ 70 espèces annuelles, vivaces et sous-arbrisseaux de la famille des Scrophulariacées, originaires d’Afrique australe. Elles produisent de petites feuilles lancéolées, parfois dentées, et des fleurs délicates de diverses couleurs (blanc, jaune, rose, rouge, violet, bleu). Certaines variétés sont parfumées et idéales pour les jardinières, suspensions ou bordures.","Plein soleil, Mi-ombre",Moyenne,Faible,Limon,1.5,1.0,0.0,"Printemps, Automne, Été, Hiver","Annuelles, Vivaces, Arbustes",60.0,60.96,,
Nemophila (Baby Blue Eyes),"Nemophila est un genre d’une dizaine d’espèces annuelles de la famille des Boraginacées, originaires de l’ouest de l’Amérique du Nord. Leurs fleurs en coupe à cinq pétales sont généralement bleues, blanches ou pourpres, souvent mouchetées. Elles apportent de la couleur et un charme champêtre aux massifs, rocailles et potées.","Plein soleil, Mi-ombre",Moyenne,Faible,Limon,1.5,1.0,0.0,"Printemps, Hiver",Annuelles,30.0,30.48,5.5,8.0
Nepeta (Catmint; Catnip; Cataria),"Nepeta, la Cataire ou Menthe aux chats, est un genre d’environ 250 espèces de la famille des Lamiacées, originaire d’Europe, d’Asie et d’Afrique. Ces vivaces robustes et aromatiques possèdent un feuillage gris-vert et des fleurs tubulaires (souvent bleues ou violettes) en épis. Elles sont faciles à cultiver, attirent les pollinisateurs et sont parfaites pour les bordures et rocailles.","Plein soleil, Mi-ombre",Faible,Faible,Limon,1.5,0.0,0.0,"Printemps, Automne, Été",Vivaces,20.0,213.36,,
Nerium (Oleander),"Nerium est un genre ne comprenant qu’une seule espèce : Nerium oleander, de la famille des Apocynacées, originaire d’Europe et d’Asie. Cet arbuste persistant porte de longues feuilles lancéolées et des fleurs colorées (roses, blanches, rouges, jaunes) à cinq pétales, souvent groupées en bouquets. Très résistant, il est largement cultivé comme plante ornementale.",Plein soleil,Moyenne,Faible,Limon,1.0,1.0,0.0,"Printemps, Automne, Été","Arbustes, Arbres",600.0,609.6,,
Nigella (Love-in-a-mist; Devil-in-a-bush),"Nigella est un genre d’environ 20 espèces de la famille des Renonculacées, originaires d’Europe, d’Asie et d’Afrique du Nord. Les fleurs délicates, souvent bleues, blanches ou roses, sont entourées d’un feuillage finement découpé. Les capsules décoratives sont également prisées pour les bouquets secs. Faciles à semer, elles confèrent une touche romantique au jardin.","Plein soleil, Mi-ombre",Moyenne,Faible,Limon,1.5,1.0,0.0,"Printemps, Automne, Été",Annuelles,20.0,91.44,,
Oenothera (Oenothera),"Oenothera est un genre d’environ 100 espèces de plantes herbacées de la famille des Onagracées, principalement originaires de l’hémisphère Ouest. Elles portent des feuilles simples ou lobées et des fleurs odorantes en forme de coupe, dotées de quatre pétales. Faciles à cultiver, elles sont polyvalentes au jardin et fleurissent souvent le soir ou tôt le matin.","Plein soleil, Mi-ombre",Moyenne,Faible,Limon,1.5,1.0,0.0,"Printemps, Automne, Été","Annuelles, Vivaces",15.0,250.0,,
Ornithogalum (Star of Bethlehem),"Ornithogalum, ou « Étoile de Bethléem », est un genre de plus de 150 espèces de plantes bulbeuses de la famille des Asparagacées, originaires d’Europe, d’Asie et d’Afrique australe. Les fleurs blanches ou verdâtres, en forme d’étoile ou de coupe, s’épanouissent au sommet de tiges dressées, au-dessus d’un feuillage linéaire. Elles se plaisent en plein soleil ou mi-ombre.","Plein soleil, Mi-ombre",Moyenne,Faible,Limon,1.5,1.0,0.0,"Printemps, Été","Vivaces, Bulbes",10.16,60.96,,
Oxalis (Wood Sorrel),"Oxalis est un genre d’environ 500 espèces annuelles et vivaces de la famille des Oxalidacées, surtout originaires d’Afrique et d’Amérique du Sud. Ces plantes basses possèdent des feuilles trifoliées rappelant le trèfle, qui se referment la nuit, et des fleurs en trompette ou en coupe, souvent roses, blanches ou jaunes. Elles attirent abeilles et papillons.","Plein soleil, Mi-ombre",Moyenne,Faible,Limon,1.5,1.0,0.0,"Printemps, Automne, Été","Annuelles, Vivaces, Bulbes",30.0,30.48,,
Paeonia (Peony),"Paeonia, la Pivoine, est un genre d’environ 30 espèces de plantes vivaces, d’arbustes ou de sous-arbrisseaux de la famille des Paéoniacées, originaires d’Asie, d’Europe du Sud et d’Amérique du Nord. Les pivoines produisent de grandes fleurs doubles ou semi-doubles, souvent parfumées, dans une palette de couleurs allant du blanc au rouge pourpré. Elles fleurissent au printemps.","Plein soleil, Mi-ombre",Moyenne,Faible,Limon,1.5,1.0,0.0,"Printemps, Été","Vivaces, Arbustes",60.0,304.8,,
Papaver (Poppy),"Papaver, ou Pavot, est un genre d’environ 50 espèces de la famille des Papavéracées, originaires d’Eurasie, d’Afrique et d’Amérique du Nord. Les feuilles sont vert grisâtre et les fleurs, simples ou doubles, présentent des pétales soyeux et un large éventail de couleurs (rouge, orange, rose, blanc, mauve). Les pavots sont appréciés pour leur aspect champêtre et leur facilité de culture.","Plein soleil, Mi-ombre",Moyenne,Faible,Limon,1.5,1.0,0.0,"Printemps, Été","Annuelles, Vivaces",90.0,91.44,,
Passiflora (Passion Flower; Passion Vine),"Passiflora est un grand genre de plus de 500 espèces de vignes, arbustes et arbres de la famille des Passifloracées, principalement originaires d’Amérique centrale et du Sud. Les fleurs, très complexes, comportent une couronne filamenteuse sur un calice et une corolle, leur donnant un aspect unique et exotique. Elles attirent de nombreux pollinisateurs.","Plein soleil, Mi-ombre",Moyenne,Moyen,Limon,1.5,1.0,0.5,"Printemps, Automne, Été","Annuelles, Vivaces, Arbustes, Arbres, Grimpantes",60.0,2000.0,,
Pelargonium (Geranium),"Pelargonium, souvent appelé « Géranium » dans le langage courant, est un genre d’environ 250 espèces, ainsi que de nombreux hybrides et cultivars, de la famille des Géraniacées. Principalement originaires d’Afrique australe, ces plantes annuelles ou vivaces, arbustives ou succulentes, offrent une large variété de tailles, formes et couleurs, et sont très prisées pour la décoration en pots ou jardinières.","Plein soleil, Mi-ombre",Moyenne,Faible,Limon,1.5,1.0,0.0,"Printemps, Automne, Été","Annuelles, Vivaces, Arbustes, Cactus - Succulentes",180.0,182.88,,
Penstemon (Beardtongue),"Penstemon est un genre de plus de 200 espèces de la famille des Plantaginacées, originaire d’Amérique du Nord. Les fleurs tubulaires ou en entonnoir, souvent vives, sont organisées en épis ou panicules. Les penstemons fleurissent longtemps, du printemps à l’automne, et attirent abeilles, papillons, colibris et autres pollinisateurs.","Plein soleil, Mi-ombre",Moyenne,Faible,Limon,1.5,1.0,0.0,"Automne, Été",Vivaces,30.0,121.92,5.5,7.0
Petunia (Petunia),"Petunia est un genre d’une vingtaine d’espèces de la famille des Solanacées, originaire d’Amérique du Sud. Ces plantes annuelles ou vivaces à la floraison généreuse produisent des fleurs en forme d’entonnoir, simples ou doubles, souvent parfumées. Très populaires dans les massifs et jardinières, la plupart des variétés disponibles sont des hybrides.","Plein soleil, Mi-ombre",Moyenne,Faible,Limon,1.5,1.0,0.0,"Printemps, Automne, Été","Annuelles, Vivaces",15.0,121.92,6.0,6.0
Phacelia (Scorpionweed),"Phacelia est un genre d’environ 60 espèces de la famille des Boraginacées, originaires d’Amérique du Nord et du Sud. Les fleurs, souvent bleues ou violettes, forment de petits bouquets ou grappes spiralées. Faciles à cultiver, les phacélies attirent fortement les abeilles et autres insectes pollinisateurs, et sont parfois utilisées comme engrais vert.","Plein soleil, Mi-ombre",Faible,Faible,Limon,1.5,0.0,0.0,"Printemps, Été","Annuelles, Vivaces",120.0,121.92,,
Phlox (Phlox),"Phlox est un genre d’environ 70 espèces annuelles et vivaces de la famille des Polémoniacées, majoritairement originaires d’Amérique du Nord. Elles possèdent des tiges robustes, des feuilles lancéolées et des inflorescences de petites fleurs étoilées à cinq pétales, dans une grande gamme de couleurs. Rustiques et faciles à cultiver, elles égayent massifs et bordures.","Plein soleil, Mi-ombre",Moyenne,Moyen,Limon,1.5,1.0,0.5,"Printemps, Automne, Été","Annuelles, Vivaces",10.0,121.92,,
